frame,expression
3715,neutral
3720,neutral
3725,neutral
3730,neutral
3735,neutral
3740,neutral
3745,neutral
3750,neutral
3755,neutral
3760,neutral
3765,neutral
3770,neutral
3775,neutral
3780,neutral
3785,neutral
3790,neutral
3795,neutral
3800,neutral
3805,neutral
3810,neutral
3815,neutral
3820,neutral
3825,neutral
3830,neutral
3835,neutral
3840,neutral
3845,neutral
3850,neutral
3855,neutral
3860,neutral
3865,neutral
3870,neutral
3875,neutral
3880,neutral
3885,neutral
3890,neutral
3895,neutral
3900,neutral
3905,neutral
3910,neutral
3915,neutral
3920,neutral
3925,neutral
3930,neutral
3935,neutral
3940,neutral
3945,neutral
3950,neutral
3955,neutral
3960,neutral
3965,neutral
3970,neutral
3975,neutral
3980,neutral
3985,neutral
3990,neutral
3995,neutral
4000,neutral
4005,neutral
4010,neutral
4015,neutral
4020,neutral
4025,neutral
4030,neutral
4035,neutral
4040,neutral
4045,neutral
4050,neutral
4055,neutral
4060,neutral
4065,neutral
4070,neutral
4075,neutral
4080,neutral
4085,neutral
4090,neutral
4095,neutral
4100,neutral
4105,neutral
4110,neutral
4115,neutral
4120,neutral
4125,neutral
4130,neutral
4135,neutral
4140,neutral
4145,neutral
4150,neutral
4155,neutral
4160,neutral
4165,neutral
4170,neutral
4175,neutral
4180,neutral
4185,neutral
4190,neutral
4195,neutral
4200,neutral
4205,neutral
4210,neutral
4215,neutral
4220,neutral
4225,neutral
4230,neutral
4235,neutral
4240,neutral
4245,neutral
4250,neutral
4255,neutral
4260,neutral
4265,neutral
4270,neutral
4275,neutral
4280,neutral
4285,neutral
4290,neutral
4295,neutral
4300,neutral
4305,neutral
4310,neutral
4315,neutral
4320,neutral
4325,neutral
4330,neutral
4335,neutral
4340,neutral
4345,neutral
4350,neutral
4355,neutral
4360,neutral
4365,neutral
4370,neutral
4375,neutral
4380,neutral
4385,neutral
4390,neutral
4395,neutral
4400,neutral
4405,neutral
4410,neutral
4415,neutral
4420,neutral
4425,neutral
4430,neutral
4435,neutral
4440,neutral
4445,neutral
4450,neutral
4455,neutral
4460,neutral
4465,neutral
4470,neutral
4475,neutral
4480,neutral
4485,neutral
4490,neutral
4495,neutral
4500,neutral
4505,neutral
4510,neutral
4515,neutral
4520,neutral
4525,neutral
4530,neutral
4535,neutral
4540,neutral
4545,neutral
4550,neutral
4555,neutral
4560,neutral
4565,neutral
4570,neutral
4575,neutral
4580,neutral
4585,neutral
4590,neutral
4595,neutral
4600,neutral
4605,neutral
4610,neutral
4615,neutral
4620,neutral
4625,neutral
4630,neutral
4635,neutral
4640,neutral
4645,neutral
4650,neutral
4655,neutral
4660,neutral
4665,neutral
4670,neutral
4675,neutral
4680,neutral
4685,neutral
4690,neutral
4695,neutral
4700,neutral
4705,neutral
4710,neutral
4715,neutral
4720,neutral
4725,neutral
4730,neutral
4735,neutral
4740,neutral
4745,neutral
4750,neutral
4755,neutral
4760,neutral
4765,neutral
4770,neutral
4775,neutral
4780,neutral
4785,neutral
4790,neutral
4795,neutral
4800,neutral
4805,neutral
4810,neutral
4815,neutral
4820,neutral
4825,neutral
4830,neutral
4835,neutral
4840,neutral
4845,neutral
4850,neutral
4855,neutral
4860,neutral
4865,neutral
4870,neutral
4875,neutral
4880,neutral
4885,neutral
4890,neutral
4895,neutral
4900,neutral
4905,neutral
4910,neutral
4915,neutral
4920,neutral
4925,neutral
4930,neutral
4935,neutral
4940,neutral
4945,neutral
4950,neutral
4955,neutral
4960,neutral
4965,neutral
4970,neutral
4975,neutral
4980,neutral
4985,neutral
4990,neutral
4995,neutral
5000,neutral
5005,neutral
5010,neutral
5015,neutral
5020,neutral
5025,neutral
5030,neutral
5035,neutral
5040,neutral
5045,neutral
5050,neutral
5055,neutral
5060,neutral
5065,neutral
5070,neutral
5075,neutral
5080,neutral
5085,neutral
5090,neutral
5095,neutral
5100,neutral
5105,neutral
5110,neutral
5115,neutral
5120,neutral
5125,neutral
5130,neutral
5135,neutral
5140,neutral
5145,neutral
5150,neutral
5155,neutral
5160,neutral
5165,neutral
5170,neutral
5175,neutral
5180,neutral
5185,neutral
5190,neutral
5195,neutral
5200,neutral
5205,neutral
5210,neutral
5215,neutral
5220,neutral
5225,neutral
5230,neutral
5235,neutral
5240,neutral
5245,neutral
5250,neutral
5255,neutral
5260,neutral
5265,neutral
5270,neutral
5275,neutral
5280,neutral
5285,neutral
